comYear,comVolume,comBookId,term,sessionPeriod,sessionTimes,meetingTimes,meetingDate,meetingName,subject,pageStart,pageEnd,docUrl,selectTerm,
113,29,,11,01,08,null,1130417,立法院第11屆第1會期財政委員會第8次全體委員會議紀錄,財政委員會第8次會議邀請金融監督管理委員會黃主任委員天牧、財政部莊部長翠雲、經濟部、行政院消費者保護處就「如何改善我國融資公司因缺乏監管所衍生之社會亂象，以穩定金融市場並保障消費者權益」進行專題報告，並備質詢；另邀請內政部警政署、法務部列席備詢,    81,   148,https://ppg.ly.gov.tw/ppg/download/communique1/work/113/29/LCIDC01_1132901_00004.doc,1101,
113,29,,11,01,13,null,1130417,立法院第11屆第1會期司法及法制委員會第13次全體委員會議紀錄,司法及法制委員會第13次會議併案審查(一)委員黃健豪等20人擬具「中華民國刑法第二百八十六條條文修正草案」案、(二)委員徐巧芯等18人擬具「中華民國刑法第二百八十六條條文修正草案」案、(三)委員廖偉翔等19人擬具「中華民國刑法第七十七條及第二百七十二條之一條文修正草案」案、(四)委員王育敏等20人擬具「中華民國刑法第二百八十六條條文修正草案」案、(五)委員楊瓊瓔等20人擬具「中華民國刑法第二百八十六條條文修正草案」案、(六)委員蘇清泉等28人擬具「中華民國刑法第二百八十六條及第二百八十六條之一條文修正草案」案、(七)國民黨黨團擬具「中華民國刑法第二百八十六條條文修正草案」案、(八)委員柯志恩等19人擬具「中華民國刑法第二百八十六條條文修正草案」案、(九)委員徐欣瑩等18人擬具「中華民國刑法第二百八十六條條文修正草案」案、(十)委員陳超明等22人擬具「中華民國刑法第二百八十六條條文修正草案」案,   149,   226,https://ppg.ly.gov.tw/ppg/download/communique1/work/113/29/LCIDC01_1132901_00005.doc,1101,
113,29,,11,01,12,null,1130415,立法院第11屆第1會期社會福利及衛生環境委員會第12次全體委員會議紀錄,社會福利及衛生環境委員會第12次會議邀請衛生福利部部長、內政部、法務部、教育部、數位發展部、國家通訊傳播委員會、文化部就「數位技術普及造成兒少性剝削案件增加之因應作為與現行政策檢討」進行專題報告，並備質詢,   227,   340,https://ppg.ly.gov.tw/ppg/download/communique1/work/113/29/LCIDC01_1132901_00006.doc,1101,
113,29,,11,01,12,null,1130417,立法院第11屆第1會期社會福利及衛生環境委員會第12次全體委員會議紀錄,社會福利及衛生環境委員會第12次會議邀請環境部部長、經濟部、行政院國家永續發展委員會就「限塑政策執行成效，及家戶與一般事業廢棄物減量之檢討與策進作為」進行專題報告，並備質詢,   341,   422,https://ppg.ly.gov.tw/ppg/download/communique1/work/113/29/LCIDC01_1132901_00007.doc,1101,
113,30,,11,01,13,null,1130417,立法院第11屆第1會期外交及國防委員會第13次全體委員會議紀錄,外交及國防委員會第13次會議邀請國防部部長邱國正報告「潛艦國造建案沿革及目前進度」，並備質詢（含秘密會議）,     1,    50,https://ppg.ly.gov.tw/ppg/download/communique1/work/113/30/LCIDC01_1133001_00002.doc,1101,
113,30,,11,01,14,null,1130418,立法院第11屆第1會期外交及國防委員會第14次全體委員會議紀錄,外交及國防委員會第14次會議邀請僑務委員會委員長徐佳青報告「如何增進海外僑胞對國家之認同與支持具體做法」，並備質詢,    51,    98,https://ppg.ly.gov.tw/ppg/download/communique1/work/113/30/LCIDC01_1133001_00003.doc,1101,
113,30,,11,01,08,null,1130417,立法院第11屆第1會期教育及文化委員會第8次全體委員會議紀錄,教育及文化委員會第8次會議邀請教育部部長潘文忠列席就「教改30年廣設大學及技專升格如今面臨整併退場之問題及對策」進行專題報告，並備質詢（113年4月17日、113年4月18日為一次會）,    99,   166,https://ppg.ly.gov.tw/ppg/download/communique1/work/113/30/LCIDC01_1133001_00004.doc,1101,
113,30,,11,01,08,null,1130418,立法院第11屆第1會期教育及文化委員會第8次全體委員會議紀錄,教育及文化委員會第8次會議一、審查委員柯志恩等16人擬具「大學法第三十五條條文修正草案」案；二、審查委員柯志恩等16人擬具「專科學校法第四十四條條文修正草案」案；三、審查(一)委員柯志恩等17人擬具「國民體育法第五條條文修正草案」案、(二)委員莊瑞雄等21人擬具「國民體育法第二十三條條文修正草案」案、(三)委員蔡其昌等21人擬具「國民體育法第二十三條條文修正草案」案、(四)委員何欣純等20人擬具「國民體育法部分條文修正草案」案（僅進行詢答）（113年4月17日、113年4月18日為一次會）,   167,   214,https://ppg.ly.gov.tw/ppg/download/communique1/work/113/30/LCIDC01_1133001_00005.doc,1101,
113,30,,11,01,07,null,1130415,立法院第11屆第1會期交通委員會第7次全體委員會議紀錄,交通委員會第7次會議一、繼續審查行政院函請審議「電子簽章法修正草案」案；二、繼續審查委員葛如鈞等22人擬具「電子簽章法修正草案」案；三、審查委員蔡其昌等18人擬具「電子簽章法修正草案」案（113年4月15日、113年4月17日、113年4月18日為一次會）,   215,   290,https://ppg.ly.gov.tw/ppg/download/communique1/work/113/30/LCIDC01_1133001_00006.doc,1101,
113,30,,11,01,07,null,1130417,立法院第11屆第1會期交通委員會第7次全體委員會議紀錄,交通委員會第7次會議一、邀請交通部部長王國材就「花蓮地震公路、鐵路、空運、海運應變機制」進行專題報告，並備質詢；二、審查委員傅崐萁等53人擬具「國道六號東延花蓮建設特別條例草案」案（113年4月15日、113年4月17日、113年4月18日為一次會）,   291,   342,https://ppg.ly.gov.tw/ppg/download/communique1/work/113/30/LCIDC01_1133001_00007.doc,1101,
