comYear,comVolume,comBookId,term,sessionPeriod,sessionTimes,meetingTimes,meetingDate,meetingName,subject,pageStart,pageEnd,docUrl,htmlUrl,selectTerm
102,38,下,08,03,15,null,1020417,黨團協商紀錄(立法院第8屆第3會期第15次會議紀錄),併案協商一、行政院函請審議「衛生福利部組織法草案」、本院委員趙天麟等20人擬具「衛生福利部組織法草案」、本院委員王育敏等45人擬具「衛生福利部組織法草案」、本院台灣團結聯盟黨團擬具「衛生福利部組織法草案」案及本院委員江惠貞等25人擬具「衛生福利部組織法草案」案；二、行政院函請審議「行政院衛生署中央健康保險局組織法修正草案」；三、行政院函請審議之「衛生福利部中醫藥研究所組織法草案」,  1407,  1414,https://ppg.ly.gov.tw/ppg/download/communique1/work/102/38/LCIDC01_1023803_00009.doc,all,
102,38,下,08,03,15,null,1020506,黨團協商紀錄(立法院第8屆第3會期第15次會議紀錄),行政院函請審議「國際金融業務條例部分條文修正草案」,  1415,  1416,https://ppg.ly.gov.tw/ppg/download/communique1/work/102/38/LCIDC01_1023803_00010.doc,all,
102,38,下,08,03,15,null,1020527,黨團協商紀錄(立法院第8屆第3會期第15次會議紀錄),併案審查一、委員林岱樺等23人擬具「中華民國刑法第一百八十五條條文修正草案」；二、行政院、司法院函請審議及委員趙天麟等20人、委員楊麗環等19人、委員丁守中等20人、委員李慶華等22人、委員江惠貞等20人、委員蔡其昌等19人、委員蔣乃辛等22人、委員黃文玲等24人、委員孫大千等17人、委員林明溱等18人、委員李昆澤等28人、委員鄭麗君等19人、委員黃偉哲等26人、委員劉建國等24人、委員盧嘉辰等16人、委員謝國樑等26人分別擬具「中華民國刑法第一百八十五條之三條文修正草案」；三、委員蔡其昌等21人、委員林佳龍等24人、委員江惠貞等18人、委員邱志偉等20人分別擬具「中華民國刑法第一百八十五條之四條文修正草案」及四、委員羅淑蕾等24人、委員黃昭順等31人、委員黃昭順等22人、本院親民黨黨團分別擬具「中華民國刑法第一百八十五條之三及第一百八十五條之四條文修正草案」等26案,  1417,  1420,https://ppg.ly.gov.tw/ppg/download/communique1/work/102/38/LCIDC01_1023803_00011.doc,all,
102,38,下,08,03,15,null,1020530,黨團協商紀錄(立法院第8屆第3會期第15次會議紀錄),行政院函請審議及委員李昆澤等21人擬具「海關緝私條例部分條文修正草案」,  1421,  1422,https://ppg.ly.gov.tw/ppg/download/communique1/work/102/38/LCIDC01_1023803_00012.doc,all,
102,46,下,null,null,null,null,1020529,黨團協商紀錄,協商行政院「勞工安全衛生法修正草案」、委員林淑芬「勞工安全衛生法部分條文修正草案」、委員蔣乃辛「勞工安全衛生法第二十六條及第二十九條條文修正草案」、委員蘇震清「勞工安全衛生法第十八條條文修正草案」、委員蔣乃辛「勞工安全衛生法第四條條文修正草案」、委員吳育仁「勞工安全衛生法第十四條及第二十五條條文修正草案」、委員田秋堇「勞工安全衛生法修正草案」、委員李應元「勞工安全衛生法第二十七條條文修正草案」、委員蔣乃辛「勞工安全衛生法第二十條條文修正草案」、委員蔣乃辛「勞工安全衛生法第二十八條條文修正草案」及委員蔣乃辛「勞工安全衛生法增訂第十三條之一條文草案」等11案,   989,  1004,https://ppg.ly.gov.tw/ppg/download/communique1/work/102/46/LCIDC01_1024603_00008.doc,all,
102,47,,08,03,02,null,1010604,黨團協商紀錄(立法院第8屆第3會期第2次臨時會第1次會議紀錄),一、審查行政院函請審議「國家發展委員會組織法草案」案；二、審查行政院函請審議「國家發展委員會檔案管理局組織法草案」案,   407,   424,https://ppg.ly.gov.tw/ppg/download/communique1/work/102/47/LCIDC01_1024701_00012.doc,all,
102,47,,08,03,02,null,1020531,黨團協商紀錄(立法院第8屆第3會期第2次臨時會第1次會議紀錄),（壹）：一、本院司法及法制、內政兩委員會報告併案審查行政院函請審議、親民黨黨團及委員林正二等25人分別擬具「內政部組織法修正草案」案、行政院函請審議「內政部消防署組織條例修正草案」及委員管碧玲等21人擬具「內政部消防署組織條例第十一條條文修正草案」案暨行政院函請審議「內政部國土管理署組織法草案」案；二、行政院函請審議「勞動部勞動及職業安全衛生研究所組織法草案」案。（貳）：一、行政院函請審議「內政部警政署組織法草案」及委員王育敏等25人擬具「內政部警政署組織法草案」案；行政院函請審議「內政部入出國及移民署組織法修正草案」、「內政部役政署組織法草案」、「內政部空中勤務總隊組織法修正草案」及「內政部建築研究所組織法草案」案；二、行政院函請審議「大陸委員會組織法草案」案；三、行政院函請審議、委員丁守中等20人、委員姚文智等16人分別擬具「海洋委員會組織法草案」及「海洋委員會海巡署組織法草案」案；四、委員林郁方等20人擬具「行政院組織法第三條條文修正草案」、委員邱文彥等81人擬具「行政院組織法第三條及第四條條文修正草案」及委員吳宜臻等22人擬具「行政院組織法第四條條文修正草案」案；五、委員林郁方等20人、委員邱文彥等81人分別擬具「中央行政機關組織基準法第二十九條條文修正草案」及委員吳宜臻等22人擬具「中央行政機關組織基準法第三十一條條文修正草案」案,   425,   448,https://ppg.ly.gov.tw/ppg/download/communique1/work/102/47/LCIDC01_1024701_00013.doc,all,
102,47,,08,03,02,null,1020619,黨團協商紀錄(立法院第8屆第3會期第2次臨時會第1次會議紀錄),行政院函請審議「漁業法增訂第三十九條之一及第六十四條之二條文草案」、委員陳超明等18人擬具「漁業法第四十四條條文修正草案」、委員林岱樺等22人擬具「漁業法第十條及第六十五條條文修正草案」、委員李應元等29人擬具「漁業法第六十條條文修正草案」及委員許忠信等18人擬具「漁業法部分條文修正草案」,   449,   450,https://ppg.ly.gov.tw/ppg/download/communique1/work/102/47/LCIDC01_1024701_00014.doc,all,
102,71,下,null,null,null,null,1020625,黨團協商紀錄,併案審查行政院函請審議「毒性化學物質管理法部分條文修正草案」及本院委員劉建國等19人、委員蘇清泉等26人分別擬具「毒性化學物質管理法部分條文修正草案」等3案,   265,   284,https://ppg.ly.gov.tw/ppg/download/communique1/work/102/71/LCIDC01_1027102_00006.doc,all,
102,84,下,null,null,null,null,1021204,黨團協商紀錄,併案審查委員蔡煌瑯等16人、委員李應元等31人、委員楊應雄等40人、委員楊曜等32人及委員陳雪生等18人分別擬具「離島建設條例第九條條文修正草案」案,   315,   318,https://ppg.ly.gov.tw/ppg/download/communique1/work/102/84/LCIDC01_1028402_00006.doc,all,
103,05,下,08,04,17,null,1021218,黨團協商紀錄(立法院第8屆第4會期第17次會議紀錄),審查本院委員王育敏等32人擬具「兒童及少年福利與權益保障法第四十四條及第九十二條條文修正草案」、委員江惠貞等20人擬具「兒童及少年福利與權益保障法第七十六條條文修正草案」、委員王育敏等30人擬具「兒童及少年福利與權益保障法第三十三條及第九十條之一條文修正草案」、台灣團結聯盟黨團擬具「兒童及少年福利與權益保障法第二十四條之一及第九十條條文修正草案」等4案,   339,   342,https://ppg.ly.gov.tw/ppg/download/communique1/work/103/05/LCIDC01_1030502_00008.doc,all,
103,08,八,08,04,18,null,1020328,黨團協商紀錄(立法院第8屆第4會期第18次會議紀錄),併案協商行政院函請審議及委員尤美女等17人擬具「勞動部組織法草案」、「勞動部勞工保險局組織法草案」、「勞動部勞動基金運用局組織法草案」、「勞動部職業安全衛生署組織法草案」、行政院函請審議「勞動部勞動力發展署組織法草案」,   229,   248,https://ppg.ly.gov.tw/ppg/download/communique1/work/103/08/LCIDC01_1030808_00006.doc,all,
103,08,八,08,04,18,null,1020531,黨團協商紀錄(立法院第8屆第4會期第18次會議紀錄),（壹）：一、本院司法及法制、內政兩委員會報告併案審查行政院函請審議、親民黨黨團及委員林正二等25人分別擬具「內政部組織法修正草案」案、行政院函請審議「內政部消防署組織條例修正草案」及委員管碧玲等21人擬具「內政部消防署組織條例第十一條條文修正草案」案暨行政院函請審議「內政部國土管理署組織法草案」案；二、行政院函請審議「勞動部勞動及職業安全衛生研究所組織法草案」案；（貳）：一、行政院函請審議「內政部警政署組織法草案」及委員王育敏等25人擬具「內政部警政署組織法草案」案；行政院函請審議「內政部入出國及移民署組織法修正草案」、「內政部役政署組織法草案」、「內政部空中勤務總隊組織法修正草案」及「內政部建築研究所組織法草案」案；二、行政院函請審議「大陸委員會組織法草案」案；三、行政院函請審議、委員丁守中等20人、委員姚文智等16人分別擬具「海洋委員會組織法草案」及「海洋委員會海巡署組織法草案」案；四、委員林郁方等20人擬具「行政院組織法第三條條文修正草案」、委員邱文彥等81人擬具「行政院組織法第三條及第四條條文修正草案」及委員吳宜臻等22人擬具「行政院組織法第四條條文修正草案」案；五、委員林郁方等20人、委員邱文彥等81人分別擬具「中央行政機關組織基準法第二十九條條文修正草案」及委員吳宜臻等22人擬具「中央行政機關組織基準法第三十一條條文修正草案」案,   249,   266,https://ppg.ly.gov.tw/ppg/download/communique1/work/103/08/LCIDC01_1030808_00007.doc,all,
