term,sessionPeriod,sessionTimes,meetingTimes,billNo,billName,billOrg,billProposer,billCosignatory,billStatus,pdfUrl,docUrl,selectTerm,
11,01,01,,321110001260000,「中央政府嚴重特殊傳染性肺炎防治及紓困振興特別決算審核報告（中華民國109年1月15日至112年6月30日）」案。,審計部,,,交付審查,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/01/LCEWA01_110101_00017.pdf,https://ppg.ly.gov.tw/ppg/download/agenda1/02/word/11/01/01/LCEWA01_110101_00017.doc,1101,
11,01,01,,401110003320000,「中華民國（臺灣）政府與聖露西亞政府刑事司法互助條約」案。,行政院,,,交付審查,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/01/LCEWA01_110101_00018.pdf,https://ppg.ly.gov.tw/ppg/download/agenda1/02/word/11/01/01/LCEWA01_110101_00018.doc,1101,
11,01,02,,202110005850000,廢止「蒙藏邊區人員任用條例」，請審議案。,本院委員李坤城等21人,李坤城　　蔡易餘　　,郭昱晴　　鍾佳濱　　林月琴　　徐富癸　　王美惠　　張雅琳　　賴惠員　　陳冠廷　　沈伯洋　　陳俊宇　　莊瑞雄　　羅美玲　　陳培瑜　　吳琪銘　　范　雲　　黃　捷　　陳秀寳　　黃秀芳　　王正旭 　　,排入院會,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00004.pdf,https://ppg.ly.gov.tw/ppg/download/agenda1/02/word/11/01/02/LCEWA01_110102_00004.doc,1101,
11,01,02,,202110005810000,廢止「國民大會同意權行使法」，請審議案。,本院委員李坤城等21人,李坤城　　莊瑞雄　　蔡易餘　　,賴惠員　　郭昱晴　　徐富癸　　陳冠廷　　羅美玲　　吳琪銘　　陳秀寳　　張雅琳　　陳俊宇　　,交付審查,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00005.pdf,https://ppg.ly.gov.tw/ppg/download/agenda1/02/word/11/01/02/LCEWA01_110102_00005.doc,1101,
11,01,02,,202110005820000,廢止「國民大會職權行使法」，請審議案。,本院委員李坤城等21人,李坤城　　莊瑞雄　　蔡易餘　　,郭昱晴　　鍾佳濱　　林月琴　　徐富癸　　王美惠　　陳俊宇　　陳冠廷　　沈伯洋　　賴惠員　　羅美玲　　張雅琳　　陳培瑜　　范　雲　　吳琪銘　　陳秀寳　　黃　捷　　王正旭　　,交付審查,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00006.pdf,https://ppg.ly.gov.tw/ppg/download/agenda1/02/word/11/01/02/LCEWA01_110102_00006.doc,1101,
11,01,02,,202110005830000,廢止「國民大會組織法」，請審議案。,本院委員李坤城等21人,李坤城　　莊瑞雄　　蔡易餘　　,郭昱晴　　鍾佳濱　　林月琴　　徐富癸　　王美惠　　張雅琳　　陳冠廷　　沈伯洋　　陳俊宇　　羅美玲　　陳培瑜　　吳琪銘　　范　雲　　賴惠員　　陳秀寳　　黃秀芳　　王正旭　　,交付審查,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00007.pdf,https://ppg.ly.gov.tw/ppg/download/agenda1/02/word/11/01/02/LCEWA01_110102_00007.doc,1101,
11,01,02,,202110005840000,廢止「訓政結束程序法」，請審議案。,本院委員李坤城等21人,李坤城　　莊瑞雄　　蔡易餘　　,郭昱晴　　鍾佳濱　　林月琴　　徐富癸　　王美惠　　張雅琳　　陳冠廷　　沈伯洋　　陳俊宇　　羅美玲　　陳培瑜　　吳琪銘　　范　雲　　賴惠員　　陳秀寳　　黃秀芳　　王正旭　　,交付審查,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00008.pdf,https://ppg.ly.gov.tw/ppg/download/agenda1/02/word/11/01/02/LCEWA01_110102_00008.doc,1101,
11,01,02,,202110005870000,廢止「第一屆資深中央民意代表自願退職條例」，請審議案。,本院委員李坤城等20人,李坤城　　蔡易餘　　,賴惠員　　黃　捷　　莊瑞雄　　張雅琳　　陳俊宇　　陳秀寳　　黃秀芳　　郭昱晴　　徐富癸　　羅美玲　　吳琪銘　　王正旭　　鍾佳濱　　王美惠　　沈伯洋　　陳培瑜　　范 雲　　林月琴　　張雅琳　　陳俊宇 　　,交付審查,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00009.pdf,https://ppg.ly.gov.tw/ppg/download/agenda1/02/word/11/01/02/LCEWA01_110102_00009.doc,1101,
11,01,02,,202110005880000,「詐欺組織犯罪防制條例草案」，請審議案。,本院委員李坤城等20人,李坤城　　蔡易餘　　,賴惠員　　郭昱晴　　鍾佳濱　　林月琴　　吳琪銘　　徐富癸　　王美惠　　張雅琳　　黃秀芳　　陳秀寳　　范　雲　　王正旭　　,交付審查,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00010.pdf,https://ppg.ly.gov.tw/ppg/download/agenda1/02/word/11/01/02/LCEWA01_110102_00010.doc,1101,
11,01,02,,202110005890000,「揭弊者保護法草案」，請審議案。,本院委員廖偉翔等18人,廖偉翔　　黃健豪　　羅廷瑋　　,王育敏　　陳菁徽　　鄭天財Sra Kacaw　　丁學忠　　謝衣鳯　　蘇清泉　　牛煦庭　　柯志恩　　林倩綺
