term,sessionPeriod,meetingNo,billNo,billName,docUrl,selectTerm
11,01,2024022107,202110005910000,本院委員廖偉翔等18人擬具「中華民國刑法第三百三十九條之四條文修正草案」，請審議案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00013.pdf,all
11,01,2024022107,202110005920000,本院委員廖偉翔等18人擬具「食品安全衛生管理法第二十四條及第二十五條條文修正草案」，請審議案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00014.pdf,all
11,01,2024022107,202110005930000,本院委員廖偉翔等18人擬具「學校衛生法第二十二條及第二十三條之三條文修正草案」，請審議案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00015.pdf,all
11,01,2024022107,202110005940000,本院委員廖偉翔等18人擬具「學校衛生法第二十三條條文修正草案」，請審議案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00016.pdf,all
11,01,2024022107,202110005950000,本院委員羅廷瑋等16人擬具「癌症防治法第十三條及第十六條條文修正草案」，請審議案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00017.pdf,all
11,01,2024022107,202110005960000,本院委員羅廷瑋等17人擬具「教育部組織法第二條條文修正草案」，請審議案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00018.pdf,all
11,01,2024022107,202110005970000,本院委員蘇清泉等20人擬具「國民教育法第三條條文修正草案」，請審議案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00019.pdf,all
11,01,2024022107,202110005980000,本院委員蘇清泉等23人擬具「學校衛生法第二十三條及第二十三條之三條文修正草案」，請審議案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00020.pdf,all
11,01,2024022107,202110005990000,本院委員蘇清泉等20人擬具「幼兒教育及照顧法第三十七條條文修正草案」，請審議案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00021.pdf,all
11,01,2024022107,202110006000000,本院委員蘇清泉等23人擬具「食品安全衛生管理法第二十二條條文修正草案」，請審議案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00022.pdf,all
