text,style,space_before,space_after,col_id,row_id,cell_width,cell_height,cell_id
"黨團協商紀錄",0000000,內文,0.0,0.0,,,,,
立法院第11屆第1會期黨團協商會議紀錄,11111111111111111111,內文,5.25,15.75,,,,,
"時　　間　中華民國113年4月17日（星期三）13時38分至13時42分",1111100000000000000000000000000000000,朝野協商(次標題)/內文,0.0,0.0,,,,,
"地　　點　本院紅樓201會議室",1111100000000000,朝野協商(次標題)/內文,0.0,0.0,,,,,
"主　　席　陳委員雪生",11111000000,內文,0.0,0.0,,,,,
"協商主題　本院交通委員會報告審查委員傅崐萁等33人擬具「花東快速公路建設特別條例草案」案。",1111100000000000000000000000000000000000000000,朝野協商(次標題)/內文,0.0,0.0,,,,,
"主席：我們現在協商花東快速公路建設特別條例草案。",1110000000000000000000000,內文,0.0,0.0,,,,,
"名稱是花東快速公路建設特別條例，各位有沒有意見？（無）沒意見。",00000000000000000000000000000000,內文,0.0,0.0,,,,,
"第一條有沒有意見？（無）",0000000000000,內文,0.0,0.0,,,,,
"第二條有沒有意見？（無）",0000000000000,內文,0.0,0.0,,,,,
"第三條有沒有意見？（無）",0000000000000,內文,0.0,0.0,,,,,
"第四條有沒有意見？（無）",0000000000000,內文,0.0,0.0,,,,,
"第五條有沒有意見？（無）",0000000000000,內文,0.0,0.0,,,,,
"第六條有沒有意見？（無）",0000000000000,內文,0.0,0.0,,,,,
"第七條有沒有意見？（無）",0000000000000,內文,0.0,0.0,,,,,
"第八條有沒有意見？（無）",0000000000000,內文,0.0,0.0,,,,,
"第九條有沒有意見？（無）",0000000000000,內文,0.0,0.0,,,,,
"第十條有沒有意見？（無）",0000000000000,內文,0.0,0.0,,,,,
"第十一條有沒有意見？（無）",00000000000000,內文,0.0,0.0,,,,,
"協商結論：",000000,朝野協商(次標題)/內文,0.0,0.0,,,,,
"協商通過條文：法案名稱、第一條、第二條、第三條、第四條、第五條、第六條、第七條、第八條、第九條、第十條、第十一條，並建請院長召集協商。",00000000000000000000000000000000000000000000000000000000000000000000,朝野協商(內文)/內文,0.0,0.0,,,,,
"散會。",0000,朝野協商(內文)/內文,0.0,0.0,,,,,
"散會（13時42分）",11000000000,內文,0.0,0.0,,,,,
"",00,內文,0.0,0.0,,,,,
