text,style,space_before,space_after,col_id,row_id,cell_width,cell_height,cell_id
"議事錄",1111,內文,0.0,10.800000190734863,,,,,
"立法院第11屆第1會期第11次會議議事錄",000000000000000000000,內文,0.0,10.800000190734863,,,,,
"時　　間　中華民國113年4月26日（星期五）上午9時至9時28分、10時至11時26分",000000000000000000000000000000000000000000000,議事時間/內文,0.0,0.0,,,,,
"4月30日（星期二）上午9時至下午1時48分",00000000000000000000000,議事時間/內文,0.0,0.0,,,,,
"地　　點　本院議場",0000000000,內文,0.0,0.0,,,,,
"出席委員　張嘉郡　　黃國昌　　陳昭姿　　林岱樺　　麥玉珍　　黃珊珊　　林思銘　　王美惠　　陳菁徽　　黃建賓　　黃　捷　　李昆澤　　陳素月　　丁學忠　　鄭天財Sra Kacaw　　　羅廷瑋　　楊瓊瓔　　陳培瑜　　林沛祥　　羅智強　　王正旭　　許宇甄　　陳秀寳　　陳冠廷　　吳春城　　王定宇　　郭國文　　羅美玲　　沈發惠　　洪孟楷　　黃　仁　　林楚茵　　林憶君　　翁曉玲　　張啓楷　　吳宗憲　　林國成　　王育敏　　柯志恩　　黃秀芳　　陳雪生　　賴士葆　　徐巧芯　　王鴻薇　　吳秉叡　　賴瑞隆　　吳琪銘　　張宏陸　　江啟臣　　李柏毅　　陳俊宇　　許智傑　　張雅琳　　郭昱晴　　吳思瑤　　范　雲　　賴惠員　　伍麗華Saidhai Tahovecahe　　　　李坤城　　沈伯洋　　林宜瑾　　柯建銘　　邱議瑩　　蘇巧慧　　林月琴　　鍾佳濱　　韓國瑜　　林倩綺　　林德福　　陳　瑩　　王世堅　　劉建國　　廖偉翔　　盧縣一　　謝龍介　　廖先翔　　顏寬恒　　邱若華　　黃健豪　　陳超明　　徐富癸　　謝衣鳯　　涂權吉　　洪申翰　　魯明哲　　張智倫　　葛如鈞　　陳永康　　羅明才　　邱鎮軍　　莊瑞雄　　何欣純　　鄭正鈐　　傅崐萁　　林俊憲　　葉元之　　蘇清泉　　陳玉珍　　牛煦庭　　李彥秀　　蔡易餘　　吳沛憶　　徐欣瑩　　萬美玲　　呂玉玲　　蔡其昌　　林淑芬　　高金素梅　楊　曜　　馬文君　　邱志偉　　游　顥　　陳亭妃　　",0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,出席委員/內文,0.0,0.0,,,,,
"委員出席　113人",0000000000,內文,0.0,0.0,,,,,
,0,內文,0.0,0.0,,,,,
主　　席,00000,內文,0.0,0.0,1,1,1,1,0
院長,00,內文,0.0,0.0,2,1,1,1,0
韓國瑜,000,內文,0.0,0.0,3,1,1,1,0
,,內文,0.0,0.0,2,1,1,1,0
列　　席,0000,內文,0.0,0.0,1,2,1,1,0
秘書長,000,內文,0.0,0.0,2,2,1,1,0
周萬來,000,內文,0.0,0.0,3,2,1,1,0
,,內文,0.0,0.0,2,2,1,1,0
記　　錄,0000,內文,0.0,0.0,1,3,1,1,0
議事處處長,00000,內文,0.0,0.0,2,3,1,1,0
高百祥,000,內文,0.0,0.0,3,3,1,1,0
,,內文,0.0,0.0,2,3,1,1,0
,,內文,0.0,0.0,1,4,1,1,0
編審,00,內文,0.0,0.0,2,4,1,1,0
吳秀玲,000,內文,0.0,0.0,3,4,1,1,0
,,內文,0.0,0.0,2,4,1,1,0
,,內文,0.0,0.0,1,5,1,1,0
科長,00,內文,0.0,0.0,2,5,1,1,0
黃建福,000,內文,0.0,0.0,3,5,1,1,0
,,內文,0.0,0.0,2,5,1,1,0
,,內文,0.0,0.0,1,6,1,1,0
公報處處長,00000,內文,0.0,0.0,2,6,1,1,0
秦劍雲,000,內文,0.0,0.0,3,6,1,1,0
,,內文,0.0,0.0,2,6,1,1,0
"報告事項",00000,事項標題/內文,0.0,0.0,,,,,
"一、宣讀本院第11屆第1會期第10次會議議事錄。",0000000000000000000000000,內文,0.0,0.0,,,,,
