text,style,space_before,space_after,col_id,row_id,cell_width,cell_height,cell_id
立法院第11屆第1會期黨團協商會議紀錄,0000000000000000000,註解文字/內文,0.0,0.0,1,1,2,1,0
,,內文,0.0,0.0,,,,,
"一、社會福利及衛生環境委員會報告併案審查委員王育敏等19人、委員蘇清泉等28人及國民黨黨團分別擬具「全民健康保險法第六十二條條文修正草案」案；二、逕付二讀：委員謝衣鳯等21人、委員楊瓊瓔等26人分別擬具「全民健康保險法第六十二條條文修正草案」等2案　　",1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,註解文字/內文,7.949999809265137,0.0,1,2,2,1,0
　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　（頁次：２８３－２９４）,111111111111111111111111111111111111111111,註解文字/內文,0.0,7.949999809265137,1,2,2,1,0
,,內文,0.0,0.0,,,,,
發言者,000,內文,0.0,0.0,1,3,1,1,0
王育敏（主席）、黃秀芳、蘇清泉、陳昭姿、王正旭、陳菁徽,000000000000000000000000000,註解文字/內文,0.0,0.0,2,3,1,1,0
,,內文,0.0,0.0,2,3,1,1,0
,,內文,0.0,0.0,1,4,1,1,0
,,註解文字/內文,0.0,0.0,2,4,1,1,0
,,內文,0.0,0.0,2,4,1,1,0
,,內文,0.0,0.0,1,5,1,1,0
,,註解文字/內文,0.0,0.0,2,5,1,1,0
,,內文,0.0,0.0,2,5,1,1,0
,,內文,0.0,0.0,1,6,1,1,0
,,註解文字/內文,0.0,0.0,2,6,1,1,0
,,內文,0.0,0.0,2,6,1,1,0
,,內文,0.0,0.0,1,7,1,1,0
,,註解文字/內文,0.0,0.0,2,7,1,1,0
,,內文,0.0,0.0,2,7,1,1,0
,,內文,0.0,0.0,1,8,1,1,0
,,註解文字/內文,0.0,0.0,2,8,1,1,0
,,內文,0.0,0.0,2,8,1,1,0
,,內文,0.0,0.0,1,9,1,1,0
,,註解文字/內文,0.0,0.0,2,9,1,1,0
,,內文,0.0,0.0,2,9,1,1,0
,,內文,0.0,0.0,1,10,1,1,0
,,註解文字/內文,0.0,0.0,2,10,1,1,0
,,內文,0.0,0.0,2,10,1,1,0
,,內文,0.0,0.0,1,11,1,1,0
,,註解文字/內文,0.0,0.0,2,11,1,1,0
,,內文,0.0,0.0,2,11,1,1,0
,,內文,0.0,0.0,1,12,1,1,0
,,註解文字/內文,0.0,0.0,2,12,1,1,0
,,內文,0.0,0.0,2,12,1,1,0
,,內文,0.0,0.0,1,13,1,1,0
,,註解文字/內文,0.0,0.0,2,13,1,1,0
,,內文,0.0,0.0,2,13,1,1,0
,,內文,0.0,0.0,1,14,1,1,0
,,註解文字/內文,0.0,0.0,2,14,1,1,0
,,內文,0.0,0.0,2,14,1,1,0
,,內文,0.0,0.0,1,15,1,1,0
,,註解文字/內文,0.0,0.0,2,15,1,1,0
,,內文,0.0,0.0,2,15,1,1,0
,,內文,0.0,0.0,1,16,1,1,0
,,註解文字/內文,0.0,0.0,2,16,1,1,0
,,內文,0.0,0.0,2,16,1,1,0
"",0,內文,0.0,0.0,,,,,
"",0,內文,0.0,0.0,,,,,
"",0,內文,0.0,0.0,,,,,
"",0,內文,0.0,0.0,,,,,
"",0,內文,0.0,0.0,,,,,
"",0,內文,0.0,0.0,,,,,
"",0,內文,0.0,0.0,,,,,
"",0,內文,0.0,0.0,,,,,
"",0,內文,0.0,0.0,,,,,
"",0,內文,0.0,0.0,,,,,
立法院第11屆第1會期黨團協商會議紀錄,0000000000000000000,註解文字/內文,0.0,0.0,1,1,2,1,1
,,內文,0.0,0.0,,,,,
【協商主題一】(一)國民黨黨團擬具「電業法第四十九條條文修正草案」案、(二)委員鄭天財Sra Kacaw等17人擬具「電業法第四十九條條文修正草案」案；【協商主題二】(一)行政院函請審議「中小企業發展條例部分條文修正草案」、委員柯志恩等17人、委員賴士葆等19人、委員楊瓊瓔等16人、國民黨黨團、委員郭國文等19人分別擬具「中小企業發展條例第三十六條之二條文修正草案」、委員楊瓊瓔等16人擬具「中小企業發展條例增訂第三十六條之四條文草案」、台灣民眾黨黨團、委員邱議瑩等29人分別擬具「中小企業發展條例部分條文修正草案」、委員張智倫等19人、委員王世堅等16人分別擬具「中小企業發展條例第三十五條、第三十六條之二及第四十條條文修正草案」案、(二)委員鄭天財Sra Kacaw等17人擬具「中小企業發展條例部分條文修正草案」案　　　　　                                          （頁次：２９５－２９８）,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,註解文字/內文,7.949999809265137,7.949999809265137,1,2,2,1,1
,,內文,0.0,0.0,,,,,
發言者,000,內文,0.0,0.0,1,3,1,1,1
楊瓊瓔（主席）、洪申翰、鄭天財Sra Kacaw,000000000000000000000000,註解文字/內文,0.0,0.0,2,3,1,1,1
,,內文,0.0,0.0,2,3,1,1,1
,,內文,0.0,0.0,1,4,1,1,1
,,註解文字/內文,0.0,0.0,2,4,1,1,1
,,內文,0.0,0.0,2,4,1,1,1
,,內文,0.0,0.0,1,5,1,1,1
,,註解文字/內文,0.0,0.0,2,5,1,1,1
,,內文,0.0,0.0,2,5,1,1,1
,,內文,0.0,0.0,1,6,1,1,1
,,註解文字/內文,0.0,0.0,2,6,1,1,1
,,內文,0.0,0.0,2,6,1,1,1
,,內文,0.0,0.0,1,7,1,1,1
,,註解文字/內文,0.0,0.0,2,7,1,1,1
,,內文,0.0,0.0,2,7,1,1,1
,,內文,0.0,0.0,1,8,1,1,1
,,註解文字/內文,0.0,0.0,2,8,1,1,1
,,內文,0.0,0.0,2,8,1,1,1
,,內文,0.0,0.0,1,9,1,1,1
,,註解文字/內文,0.0,0.0,2,9,1,1,1
,,內文,0.0,0.0,2,9,1,1,1
,,內文,0.0,0.0,1,10,1,1,1
,,註解文字/內文,0.0,0.0,2,10,1,1,1
,,內文,0.0,0.0,2,10,1,1,1
,,內文,0.0,0.0,1,11,1,1,1
,,註解文字/內文,0.0,0.0,2,11,1,1,1
,,內文,0.0,0.0,2,11,1,1,1
,,內文,0.0,0.0,1,12,1,1,1
,,註解文字/內文,0.0,0.0,2,12,1,1,1
,,內文,0.0,0.0,2,12,1,1,1
