text,style,space_before,space_after,col_id,row_id,cell_width,cell_height,cell_id
"議事錄",1111,內文,0.0,10.800000190734863,,,,,
"立法院第11屆第1會期第14次會議議事錄",000000000000000000000,內文,0.0,10.800000190734863,,,,,
"時　　間　中華民國113年5月17日（星期五）上午10時8分至下午11時59分",0000000000000000000000000000000000000000,議事時間/內文,0.0,0.0,,,,,
"5月21日（星期二）上午9時3分至12時2分、下午2時30分至11時46分",00000000000000000000000000000000000000,議事時間/內文,0.0,0.0,,,,,
"地　　點　本院議場",0000000000,內文,0.0,0.0,,,,,
"出席委員　萬美玲　　黃國昌　　郭國文　　李昆澤　　柯建銘　　黃珊珊　　傅崐萁　　鄭天財Sra Kacaw　　　賴士葆　　賴瑞隆　　邱議瑩　　盧縣一　　王鴻薇　　林德福　　翁曉玲　　林倩綺　　徐欣瑩　　涂權吉　　牛煦庭　　陳亭妃　　魯明哲　　陳冠廷　　黃健豪　　王美惠　　吳秉叡　　林俊憲　　范　雲　　陳俊宇　　洪申翰　　張雅琳　　林淑芬　　林沛祥　　楊瓊瓔　　王育敏　　何欣純　　陳素月　　林楚茵　　沈伯洋　　許智傑　　吳沛憶　　黃　捷　　陳昭姿　　陳玉珍　　黃秀芳　　謝衣鳯　　林憶君　　王世堅　　謝龍介　　陳永康　　李彥秀　　徐富癸　　吳春城　　游　顥　　蘇巧慧　　呂玉玲　　郭昱晴　　陳培瑜　　李柏毅　　張啓楷　　陳菁徽　　賴惠員　　葉元之　　葛如鈞　　廖先翔　　許宇甄　　張智倫　　林思銘　　黃建賓　　丁學忠　　陳超明　　莊瑞雄　　柯志恩　　羅明才　　蘇清泉　　顏寬恒　　鍾佳濱　　陳雪生　　廖偉翔　　鄭正鈐　　邱鎮軍　　黃　仁　　徐巧芯　　張嘉郡　　麥玉珍　　蔡易餘　　邱若華　　林國成　　羅廷瑋　　王定宇　　林宜瑾　　陳秀寳　　李坤城　　馬文君　　張宏陸　　林月琴　　王正旭　　羅美玲　　劉建國　　伍麗華Saidhai Tahovecahe　　　　沈發惠　　陳　瑩　　吳思瑤　　邱志偉　　羅智強　　蔡其昌　　林岱樺　　韓國瑜　　高金素梅　吳宗憲　　洪孟楷　　吳琪銘　　楊　曜　　江啟臣　　",0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,出席委員/內文,0.0,0.0,,,,,
"委員出席　113人",0000000000,內文,0.0,0.0,,,,,
,0,內文,0.0,0.0,,,,,
主　　席,00000,內文,0.0,0.0,1,1,1,1,0
院長,00,內文,0.0,0.0,2,1,1,1,0
韓國瑜,000,內文,0.0,0.0,3,1,1,1,0
,,內文,0.0,0.0,2,1,1,1,0
列　　席,0000,內文,0.0,0.0,1,2,1,1,0
秘書長,000,內文,0.0,0.0,2,2,1,1,0
周萬來,000,內文,0.0,0.0,3,2,1,1,0
,,內文,0.0,0.0,2,2,1,1,0
記　　錄,0000,內文,0.0,0.0,1,3,1,1,0
議事處處長,00000,內文,0.0,0.0,2,3,1,1,0
高百祥,000,內文,0.0,0.0,3,3,1,1,0
,,內文,0.0,0.0,2,3,1,1,0
,,內文,0.0,0.0,1,4,1,1,0
編審,00,內文,0.0,0.0,2,4,1,1,0
吳秀玲,000,內文,0.0,0.0,3,4,1,1,0
,,內文,0.0,0.0,2,4,1,1,0
,,內文,0.0,0.0,1,5,1,1,0
科長,00,內文,0.0,0.0,2,5,1,1,0
黃建福,000,內文,0.0,0.0,3,5,1,1,0
,,內文,0.0,0.0,2,5,1,1,0
,,內文,0.0,0.0,1,6,1,1,0
公報處處長,00000,內文,0.0,0.0,2,6,1,1,0
秦劍雲,000,內文,0.0,0.0,3,6,1,1,0
,,內文,0.0,0.0,2,6,1,1,0
"報告事項",00000,事項標題/內文,10.800000190734863,0.0,,,,,
"一、宣讀本院第11屆第1會期第13次會議議事錄。",0000000000000000000000000,內文,0.0,0.0,,,,,
"決定：確定。",0000000,內文,0.0,0.0,,,,,
"二、本院委員郭昱晴等16人擬具「公寓大廈管理條例第十六條及第二十三條條文修正草案」，請審議案。",000000000000000000000000000000000000000000000000,內文,0.0,0.0,,,,,
"決定：交內政委員會審查。",0000000000000,內文,0.0,0.0,,,,,
"三、本院委員郭昱晴等16人擬具「中華民國刑法部分條文修正草案」，請審議案。",00000000000000000000000000000000000000,內文,0.0,0.0,,,,,
"決定：交司法及法制委員會審查。",0000000000000000,內文,0.0,0.0,,,,,
"四、本院委員郭昱晴等16人擬具「人工生殖法部分條文修正草案」，請審議案。",0000000000000000000000000000000000000,內文,0.0,0.0,,,,,
"決定：交社會福利及衛生環境、司法及法制兩委員會審查。",000000000000000000000000000,內文,0.0,0.0,,,,,
"五、本院委員許宇甄等18人擬具「殯葬管理條例第二十一條之一條文修正草案」，請審議案。",0000000000000000000000000000000000000000000,內文,0.0,0.0,,,,,
"決定：交內政委員會審查。",0000000000000,內文,0.0,0.0,,,,,
"六、本院委員許宇甄等20人擬具「公寓大廈管理條例第八條及第十條條文修正草案」，請審議案。",000000000000000000000000000000000000000000000,內文,0.0,0.0,,,,,
"決定：交內政委員會審查。",0000000000000,內文,0.0,0.0,,,,,
"七、本院委員許宇甄等39人擬具「公職人員選舉罷免法第七十五條及第九十條條文修正草案」，請審議案。",0000000000000000000000000000000000000000000000000,內文,0.0,0.0,,,,,
"決定：交內政委員會審查。",0000000000000,內文,0.0,0.0,,,,,
"八、本院委員許宇甄等17人擬具「勞工退休金條例第十四條條文修正草案」，請審議案。",00000000000000000000000000000000000000000,內文,0.0,0.0,,,,,
"決定：交社會福利及衛生環境委員會審查。",00000000000000000000,內文,0.0,0.0,,,,,
"九、本院委員羅智強等16人擬具「立法院各委員會組織法增訂第五條之一條文草案」，請審議案。",000000000000000000000000000000000000000000000,內文,0.0,0.0,,,,,
"決定：交司法及法制委員會審查。",0000000000000000,內文,0.0,0.0,,,,,
"十、本院委員羅智強等16人擬具「兒童及少年性剝削防制條例第三條條文修正草案」，請審議案。",000000000000000000000000000000000000000000000,內文,0.0,0.0,,,,,
"決定：逕付二讀，與相關提案併案協商。",0000000000000000000,內文,0.0,0.0,,,,,
"十一、本院委員羅智強等16人擬具「兒童及少年性剝削防制條例第四條條文修正草案」，請審議案。",0000000000000000000000000000000000000000000000,內文,0.0,0.0,,,,,
"決定：逕付二讀，與相關提案併案協商。",0000000000000000000,內文,0.0,0.0,,,,,
"十二、本院委員蔡易餘等23人擬具「地方民意代表費用支給及村里長事務補助費補助條例第七條及第十條條文修正草案」，請審議案。",0000000000000000000000000000000000000000000000000000000000000,內文,0.0,0.0,,,,,
"決定：交內政委員會審查。",0000000000000,內文,0.0,0.0,,,,,
"十三、本院委員張宏陸等23人擬具「地方民意代表費用支給及村里長事務補助費補助條例第六條及第七條條文修正草案」，請審議案。",0000000000000000000000000000000000000000000000000000000000000,內文,0.0,0.0,,,,,
