text,style,space_before,space_after,col_id,row_id,cell_width,cell_height,cell_id
"議事錄",1111,內文,0.0,10.800000190734863,,,,,
"立法院第11屆第1會期第12次會議議事錄",000000000000000000000,內文,0.0,10.800000190734863,,,,,
"時　　間　中華民國113年5月3日（星期五）上午9時至9時24分、10時至11時46分",00000000000000000000000000000000000000000000,議事時間/內文,0.0,0.0,,,,,
"5月7日（星期二）上午9時至10時",000000000000000000,議事時間/內文,0.0,0.0,,,,,
"地　　點　本院議場",0000000000,內文,0.0,0.0,,,,,
"出席委員　黃國昌　　陳昭姿　　麥玉珍　　林岱樺　　鄭天財Sra Kacaw　　　林德福　　王美惠　　李昆澤　　洪孟楷　　沈伯洋　　林月琴　　林俊憲　　林國成　　羅智強　　陳菁徽　　王正旭　　張嘉郡　　陳培瑜　　許宇甄　　陳冠廷　　李坤城　　黃　捷　　王定宇　　陳秀寳　　郭昱晴　　吳琪銘　　羅美玲　　謝龍介　　許智傑　　柯志恩　　林憶君　　林思銘　　林沛祥　　何欣純　　沈發惠　　王育敏　　葛如鈞　　黃秀芳　　呂玉玲　　游　顥　　賴瑞隆　　賴士葆　　黃建賓　　涂權吉　　黃健豪　　蘇清泉　　牛煦庭　　張雅琳　　林楚茵　　張啓楷　　蔡易餘　　吳思瑤　　邱志偉　　張宏陸　　林宜瑾　　李柏毅　　莊瑞雄　　陳素月　　邱議瑩　　吳沛憶　　王世堅　　劉建國　　伍麗華Saidhai Tahovecahe　　　　徐富癸　　陳　瑩　　蔡其昌　　陳永康　　陳雪生　　洪申翰　　鍾佳濱　　韓國瑜　　顏寬恒　　徐欣瑩　　賴惠員　　陳俊宇　　吳秉叡　　廖偉翔　　廖先翔　　吳宗憲　　陳亭妃　　馬文君　　盧縣一　　魯明哲　　林倩綺　　范　雲　　楊瓊瓔　　葉元之　　鄭正鈐　　翁曉玲　　萬美玲　　丁學忠　　王鴻薇　　陳超明　　陳玉珍　　邱鎮軍　　黃　仁　　蘇巧慧　　徐巧芯　　柯建銘　　張智倫　　李彥秀　　羅廷瑋　　傅崐萁　　邱若華　　謝衣鳯　　郭國文　　高金素梅　林淑芬　　楊　曜　　羅明才　　江啟臣　　吳春城　　",00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,出席委員/內文,0.0,0.0,,,,,
"委員出席　112人",0000000000,內文,0.0,0.0,,,,,
"請假委員　黃珊珊　　",00000000000,請假委員/出席委員/內文,0.0,0.0,,,,,
"委員請假　1人",00000000,內文,0.0,0.0,,,,,
,0,內文,0.0,0.0,,,,,
主　　席,00000,內文,0.0,0.0,1,1,1,1,0
院長,00,內文,0.0,0.0,2,1,1,1,0
韓國瑜,000,內文,0.0,0.0,3,1,1,1,0
,,內文,0.0,0.0,2,1,1,1,0
列　　席,0000,內文,0.0,0.0,1,2,1,1,0
秘書長,000,內文,0.0,0.0,2,2,1,1,0
周萬來,000,內文,0.0,0.0,3,2,1,1,0
,,內文,0.0,0.0,2,2,1,1,0
記　　錄,0000,內文,0.0,0.0,1,3,1,1,0
議事處處長,00000,內文,0.0,0.0,2,3,1,1,0
高百祥,000,內文,0.0,0.0,3,3,1,1,0
,,內文,0.0,0.0,2,3,1,1,0
,,內文,0.0,0.0,1,4,1,1,0
編審,00,內文,0.0,0.0,2,4,1,1,0
吳秀玲,000,內文,0.0,0.0,3,4,1,1,0
,,內文,0.0,0.0,2,4,1,1,0
,,內文,0.0,0.0,1,5,1,1,0
科長,00,內文,0.0,0.0,2,5,1,1,0
黃建福,000,內文,0.0,0.0,3,5,1,1,0
,,內文,0.0,0.0,2,5,1,1,0
,,內文,0.0,0.0,1,6,1,1,0
公報處處長,00000,內文,0.0,0.0,2,6,1,1,0
秦劍雲,000,內文,0.0,0.0,3,6,1,1,0
,,內文,0.0,0.0,2,6,1,1,0
"報告事項",00000,事項標題/內文,0.0,0.0,,,,,
"一、宣讀本院第11屆第1會期第11次會議議事錄。",0000000000000000000000000,內文,0.0,0.0,,,,,
"決定：確定。",0000000,內文,0.0,0.0,,,,,
"二、本院委員陳玉珍等17人擬具「公務人員退休資遣撫卹法第三十七條、第三十八條及第六十七條條文修正草案」，請審議案。",0000000000000000000000000000000000000000000000000000000000,內文,0.0,0.0,,,,,
"決定：交司法及法制委員會審查。",0000000000000000,內文,0.0,0.0,,,,,
"三、本院委員陳玉珍等17人擬具「公立學校教職員退休資遣撫卹條例第三十七條及第三十八條條文修正草案」，請審議案。",00000000000000000000000000000000000000000000000000000000,內文,0.0,0.0,,,,,
"決定：交司法及法制、教育及文化兩委員會審查。",00000000000000000000000,內文,0.0,0.0,,,,,
"四、本院委員陳玉珍等24人擬具「財政收支劃分法第八條條文修正草案」，請審議案。",0000000000000000000000000000000000000000,內文,0.0,0.0,,,,,
"決定：交財政委員會審查。",0000000000000,內文,0.0,0.0,,,,,
"五、本院委員陳玉珍等23人擬具「證券交易法第一百六十五條之二條文修正草案」，請審議案。",00000000000000000000000000000000000000000000,內文,0.0,0.0,,,,,
"決定：退回程序委員會重新提出。",0000000000000000,內文,0.0,0.0,,,,,
"六、本院委員王鴻薇等17人擬具「監察院組織法第三條之一條文修正草案」，請審議案。",00000000000000000000000000000000000000000,內文,0.0,0.0,,,,,
"決定：交司法及法制委員會審查。",0000000000000000,內文,0.0,0.0,,,,,
