text,style,space_before,space_after,col_id,row_id,cell_width,cell_height,cell_id
"議事錄",1111,內文,0.0,10.800000190734863,,,,,
"立法院第11屆第1會期第16次會議議事錄",000000000000000000000,內文,0.0,10.800000190734863,,,,,
"時　　間　中華民國113年5月31日（星期五）上午9時至9時28分、10時2分至12時9分、下午2時30分至4時43分",000000000000000000000000000000000000000000000000000000000000,議事時間/內文,0.0,0.0,,,,,
"6月4日（星期二）上午9時至下午5時42分",0000000000000000000000,議事時間/內文,0.0,0.0,,,,,
"地　　點　本院議場",0000000000,內文,0.0,0.0,,,,,
"出席委員　陳昭姿　　林國成　　麥玉珍　　吳春城　　林岱樺　　王美惠　　柯建銘　　鄭天財Sra Kacaw　　　王正旭　　洪孟楷　　陳永康　　李坤城　　郭昱晴　　羅智強　　黃　捷　　許宇甄　　沈伯洋　　涂權吉　　陳秀寳　　王定宇　　謝龍介　　沈發惠　　黃秀芳　　吳琪銘　　張啓楷　　林倩綺　　柯志恩　　林楚茵　　吳秉叡　　賴士葆　　王育敏　　黃珊珊　　王世堅　　徐富癸　　林月琴　　范　雲　　邱志偉　　陳亭妃　　何欣純　　陳素月　　陳俊宇　　邱議瑩　　李柏毅　　許智傑　　吳沛憶　　賴瑞隆　　林俊憲　　林淑芬　　張雅琳　　張宏陸　　蘇巧慧　　林宜瑾　　洪申翰　　劉建國　　羅明才　　伍麗華Saidhai Tahovecahe　　　　賴惠員　　蔡其昌　　黃國昌　　高金素梅　廖先翔　　傅崐萁　　羅廷瑋　　林思銘　　張嘉郡　　黃健豪　　盧縣一　　翁曉玲　　邱若華　　萬美玲　　呂玉玲　　葛如鈞　　牛煦庭　　陳超明　　陳　瑩　　陳雪生　　鄭正鈐　　吳思瑤　　徐巧芯　　黃建賓　　丁學忠　　李昆澤　　陳玉珍　　林德福　　陳菁徽　　馬文君　　廖偉翔　　游　顥　　楊瓊瓔　　黃　仁　　魯明哲　　鍾佳濱　　韓國瑜　　陳冠廷　　蔡易餘　　顏寬恒　　徐欣瑩　　邱鎮軍　　張智倫　　王鴻薇　　林沛祥　　吳宗憲　　李彥秀　　謝衣鳯　　蘇清泉　　郭國文　　莊瑞雄　　羅美玲　　陳培瑜　　葉元之　　楊　曜　　江啟臣　　",00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,出席委員/內文,0.0,0.0,,,,,
"委員出席　112人",0000000000,內文,0.0,0.0,,,,,
"請假委員　林憶君　　",00000000000,請假委員/出席委員/內文,0.0,0.0,,,,,
"委員請假　1人",00000000,內文,0.0,0.0,,,,,
,0,內文,0.0,0.0,,,,,
列席官員,00000,內文,0.0,0.0,1,1,1,1,0
行政院院長,00000,內文,0.0,0.0,2,1,1,1,0
卓榮泰,000,內文,0.0,0.0,3,1,1,1,0
,,內文,0.0,0.0,2,1,1,1,0
,,內文,0.0,0.0,1,2,1,1,0
行政院副院長,000000,內文,0.0,0.0,2,2,1,1,0
鄭麗君,000,內文,0.0,0.0,3,2,1,1,0
,,內文,0.0,0.0,2,2,1,1,0
,,內文,0.0,0.0,1,3,1,1,0
內政部部長,00000,內文,0.0,0.0,2,3,1,1,0
劉世芳,000,內文,0.0,0.0,3,3,1,1,0
,,內文,0.0,0.0,2,3,1,1,0
,,內文,0.0,0.0,1,4,1,1,0
外交部部長,00000,內文,0.0,0.0,2,4,1,1,0
林佳龍,000,內文,0.0,0.0,3,4,1,1,0
,,內文,0.0,0.0,2,4,1,1,0
,,內文,0.0,0.0,1,5,1,1,0
國防部部長,00000,內文,0.0,0.0,2,5,1,1,0
顧立雄,000,內文,0.0,0.0,3,5,1,1,0
,,內文,0.0,0.0,2,5,1,1,0
,,內文,0.0,0.0,1,6,1,1,0
財政部部長,00000,內文,0.0,0.0,2,6,1,1,0
莊翠雲,000,內文,0.0,0.0,3,6,1,1,0
,,內文,0.0,0.0,2,6,1,1,0
,,內文,0.0,0.0,1,7,1,1,0
教育部部長,00000,內文,0.0,0.0,2,7,1,1,0
鄭英耀,000,內文,0.0,0.0,3,7,1,1,0
,,內文,0.0,0.0,2,7,1,1,0
,,內文,0.0,0.0,1,8,1,1,0
法務部部長,00000,內文,0.0,0.0,2,8,1,1,0
鄭銘謙,000,內文,0.0,0.0,3,8,1,1,0
,,內文,0.0,0.0,2,8,1,1,0
,,內文,0.0,0.0,1,9,1,1,0
經濟部部長,00000,內文,0.0,0.0,2,9,1,1,0
郭智輝,000,內文,0.0,0.0,3,9,1,1,0
,,內文,0.0,0.0,2,9,1,1,0
,,內文,0.0,0.0,1,10,1,1,0
