text,style,space_before,space_after,col_id,row_id,cell_width,cell_height,cell_id
"議事錄",1111,內文,0.0,10.800000190734863,,,,,
"立法院第11屆第1會期第10次會議議事錄",000000000000000000000,內文,0.0,10.800000190734863,,,,,
"時　　間　中華民國113年4月19日（星期五）上午9時至9時31分、10時至11時44分",000000000000000000000000000000000000000000000,議事時間/內文,0.0,0.0,,,,,
"4月23日（星期二）上午9時至10時",0000000000000000000,議事時間/內文,0.0,0.0,,,,,
"地　　點　本院議場",0000000000,內文,0.0,0.0,,,,,
"出席委員　黃國昌　　陳昭姿　　吳春城　　麥玉珍　　林憶君　　黃珊珊　　林德福　　林岱樺　　黃建賓　　陳菁徽　　黃　捷　　李昆澤　　林俊憲　　沈伯洋　　林楚茵　　洪孟楷　　丁學忠　　陳素月　　許宇甄　　張嘉郡　　王正旭　　陳秀寳　　羅智強　　陳冠廷　　李坤城　　羅美玲　　郭國文　　楊瓊瓔　　鄭天財Sra Kacaw　　　林國成　　邱志偉　　葛如鈞　　王美惠　　呂玉玲　　賴士葆　　吳琪銘　　許智傑　　徐欣瑩　　牛煦庭　　涂權吉　　陳雪生　　翁曉玲　　黃　仁　　柯志恩　　羅明才　　王定宇　　賴瑞隆　　王世堅　　陳培瑜　　郭昱晴　　徐巧芯　　吳秉叡　　何欣純　　范　雲　　蔡其昌　　張宏陸　　徐富癸　　沈發惠　　伍麗華Saidhai Tahovecahe　　　　張雅琳　　林宜瑾　　李柏毅　　陳俊宇　　劉建國　　黃秀芳　　莊瑞雄　　陳　瑩　　林淑芬　　柯建銘　　賴惠員　　鍾佳濱　　韓國瑜　　吳思瑤　　洪申翰　　蘇巧慧　　陳亭妃　　邱議瑩　　葉元之　　邱若華　　陳永康　　陳超明　　李彥秀　　廖偉翔　　林沛祥　　游　顥　　林思銘　　邱鎮軍　　陳玉珍　　吳沛憶　　林月琴　　謝龍介　　傅崐萁　　王鴻薇　　王育敏　　羅廷瑋　　廖先翔　　馬文君　　張智倫　　吳宗憲　　張啓楷　　蘇清泉　　楊　曜　　鄭正鈐　　高金素梅　江啟臣　　顏寬恒　　黃健豪　　魯明哲　　盧縣一　　萬美玲　　林倩綺　　蔡易餘　　謝衣鳯　　　　　　　",000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,出席委員/內文,0.0,0.0,,,,,
"委員出席　113人",0000000000,內文,0.0,0.0,,,,,
,0,內文,0.0,0.0,,,,,
主　　席,00000,內文,0.0,0.0,1,1,1,1,0
院長,00,內文,0.0,0.0,2,1,1,1,0
韓國瑜,000,內文,0.0,0.0,3,1,1,1,0
,,內文,0.0,0.0,2,1,1,1,0
列　　席,0000,內文,0.0,0.0,1,2,1,1,0
秘書長,000,內文,0.0,0.0,2,2,1,1,0
周萬來,000,內文,0.0,0.0,3,2,1,1,0
,,內文,0.0,0.0,2,2,1,1,0
記　　錄,0000,內文,0.0,0.0,1,3,1,1,0
議事處處長,00000,內文,0.0,0.0,2,3,1,1,0
高百祥,000,內文,0.0,0.0,3,3,1,1,0
,,內文,0.0,0.0,2,3,1,1,0
,,內文,0.0,0.0,1,4,1,1,0
編審,00,內文,0.0,0.0,2,4,1,1,0
吳秀玲,000,內文,0.0,0.0,3,4,1,1,0
,,內文,0.0,0.0,2,4,1,1,0
,,內文,0.0,0.0,1,5,1,1,0
科長,00,內文,0.0,0.0,2,5,1,1,0
黃建福,000,內文,0.0,0.0,3,5,1,1,0
,,內文,0.0,0.0,2,5,1,1,0
,,內文,0.0,0.0,1,6,1,1,0
公報處處長,00000,內文,0.0,0.0,2,6,1,1,0
秦劍雲,000,內文,0.0,0.0,3,6,1,1,0
,,內文,0.0,0.0,2,6,1,1,0
"報告事項",00000,事項標題/內文,0.0,0.0,,,,,
"一、宣讀本院第11屆第1會期第9次會議議事錄。",000000000000000000000000,內文,0.0,0.0,,,,,
"決定：確定。",0000000,內文,0.0,0.0,,,,,
"二、本院委員陳素月等21人擬具「地方民意代表費用支給及村里長事務補助費補助條例第六條條文修正草案」，請審議案。",00000000000000000000000000000000000000000000000000000000,內文,0.0,0.0,,,,,
"決定：交內政委員會審查。",0000000000000,內文,0.0,0.0,,,,,
"三、本院委員陳素月等22人擬廢止「印花稅法」，請審議案。",00000000000000000000000000000,內文,0.0,0.0,,,,,
