text,style,space_before,space_after,col_id,row_id,cell_width,cell_height,cell_id
"議事錄",1111,內文,0.0,10.800000190734863,,,,,
"立法院第11屆第1會期第3次會議議事錄",00000000000000000000,內文,0.0,10.800000190734863,,,,,
"時　　間　中華民國113年3月1日（星期五）上午9時至9時33分、10時至12時7分、下午2時30分至5時19分",000000000000000000000000000000000000000000000000000000000,議事時間/內文,0.0,0.0,,,,,
"3月5日（星期二）上午9時3分至12時3分、下午2時30分至5時26分",000000000000000000000000000000000000,議事時間/內文,0.0,0.0,,,,,
"地　　點　本院議場",0000000000,內文,0.0,0.0,,,,,
"出席委員　陳昭姿　　吳春城　　黃珊珊　　麥玉珍　　林憶君　　張嘉郡　　陳俊宇　　鄭天財Sra Kacaw　　　謝龍介　　陳永康　　陳菁徽　　李昆澤　　顏寬恒　　李彥秀　　吳宗憲　　陳玉珍　　丁學忠　　韓國瑜　　葉元之　　許宇甄　　陳秀寳　　林岱樺　　李坤城　　陳亭妃　　鍾佳濱　　柯建銘　　王正旭　　沈發惠　　邱若華　　黃建賓　　王世堅　　張啓楷　　徐巧芯　　牛煦庭　　伍麗華Saidhai Tahovecahe　　　　林國成　　賴士葆　　蔡易餘　　林倩綺　　陳超明　　劉建國　　陳冠廷　　王育敏　　賴瑞隆　　王定宇　　吳琪銘　　蔡其昌　　吳秉叡　　王美惠　　何欣純　　蘇巧慧　　許智傑　　陳素月　　莊瑞雄　　張宏陸　　羅美玲　　徐富癸　　張雅琳　　黃　捷　　林宜瑾　　林俊憲　　吳沛憶　　沈伯洋　　林楚茵　　李柏毅　　賴惠員　　黃秀芳　　洪申翰　　林淑芬　　郭昱晴　　林月琴　　羅智強　　高金素梅　吳思瑤　　涂權吉　　陳　瑩　　翁曉玲　　王鴻薇　　范　雲　　郭國文　　楊　曜　　葛如鈞　　徐欣瑩　　邱議瑩　　林沛祥　　蘇清泉　　廖先翔　　傅崐萁　　林思銘　　羅明才　　羅廷瑋　　邱志偉　　呂玉玲　　鄭正鈐　　游　顥　　陳培瑜　　廖偉翔　　盧縣一　　江啟臣　　柯志恩　　黃　仁　　邱鎮軍　　萬美玲　　楊瓊瓔　　陳雪生　　馬文君　　黃國昌　　林德福　　謝衣鳯　　黃健豪　　洪孟楷　　魯明哲　　張智倫　　",0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,出席委員/內文,0.0,0.0,,,,,
"委員出席　113人",0000000000,內文,0.0,0.0,,,,,
,0,內文,0.0,0.0,,,,,
列席官員,00000,內文,0.0,0.0,1,1,1,1,0
行政院院長,00000,內文,0.0,0.0,2,1,1,1,0
