text,style,space_before,space_after,col_id,row_id,cell_width,cell_height,cell_id
立法院第11屆第1會期第14次會議紀錄,11111111111111111111,內文,5.25,15.75,,,,,
"時　　間　中華民國113年5月21日（星期二）9時3分",1111100000000000000000000000,主席(多位主席),0.0,0.0,,,,,
"地　　點　本院議場",1111100000,主席(多位主席),0.0,0.0,,,,,
"主　　席　韓院長國瑜",11111000000,主席(多位主席),0.0,0.0,,,,,
"秘書長　周萬來",11100000,內文,0.0,0.0,,,,,
"繼續開會",11111,內文,0.0,0.0,,,,,
"主席：報告院會……",1110000000,內文,0.0,0.0,,,,,
"（現場一片混亂）",111111111,內文,0.0,0.0,,,,,
"張委員嘉郡：議事秩序……",1111110000000,內文,0.0,0.0,,,,,
"主席：報告院會，容許我講三個重點好嗎？",11100000000000000000,內文,0.0,0.0,,,,,
"（現場一片混亂）",111111111,內文,0.0,0.0,,,,,
"主席：請大家安靜，報告院會，請讓我宣布三個重點，好不好？請讓我宣布三個重點：第一，5月17號我們國會打架打得頭破血流……聽我說完，我宣布三個重點，我們讓全世界看到臺灣，不是看到我們的真善美，也不是看到……",1110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,內文,0.0,0.0,,,,,
"（現場一片混亂）",111111111,內文,0.0,0.0,,,,,
"主席：我講完三點，大家有意見再說，好不好？我心裡的感慨，我要跟大家分享三個重點……",111000000000000000000000000000000000000000,內文,0.0,0.0,,,,,
"（現場一片混亂）",111111111,內文,0.0,0.0,,,,,
"主席：我們希望世界看到臺灣，是看到我們的真善美，看到我們優質的民主，新總統昨天就職，今天是第二天，如果我們立法院再發生衝突，我們怎麼交代？所以，我誠懇地希望我們所有的委員……",1110000000000000000000000000000000000000000000000000000000000000000000000000000000000000,內文,0.0,0.0,,,,,
"（要審查！要協商！要審查！要協商！）",0000000000000000000,內文,0.0,0.0,,,,,
"主席：柯總召、吳思瑤幹事長，能不能請你們委員安靜一下？如果我講完我心裡的一些感想，你們不接受，你們再表示意見。",11100000000000000000000000000000000000000000000000000000,內文,0.0,0.0,,,,,
"（現場一片混亂）",111111111,內文,0.0,0.0,,,,,
"主席：報告院會，麻煩黨團幹部約束一下各黨團委員好嗎？",111000000000000000000000000,內文,0.0,0.0,,,,,
"（現場一片混亂）",111111111,內文,0.0,0.0,,,,,
"主席：先向院會報告，基於上週五院會的情況，基於維護院會主席人身安全，以及保障院會主席能夠順利主持院會，因此對於議場後面的主席休息室，我們會做適當的安全管理。",1110000000000000000000000000000000000000000000000000000000000000000000000000000,內文,0.0,0.0,,,,,
"另外，針對討論事項第一案，本席在黨團協商會議的時候曾經提出，我們逐條討論時，每一個黨團各派一人來發言，發言之後，我們開始處理黨團的版本，後續條文就如此處理，結果民進黨黨團不同意。所以現在我要再問一次民進黨黨團，國民黨黨團、民眾黨黨團都同意，民進黨黨團同意與否？",00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,內文,0.0,0.0,,,,,
"李委員柏毅：開放登記發言啦！",111111000000000,內文,0.0,0.0,,,,,
"楊委員瓊瓔：同不同意啦？聽啦！一人發言，同不同意？",11111100000000000000000000,內文,0.0,0.0,,,,,
"主席：各黨團派一人發言，每一條一個代表，同不同意？民進黨黨團不同意，所以後續條文，民進黨黨團不同意，我們就依照議事規則來處理。",1110000000000000000000000000000000000000000000000000000000000000,內文,0.0,0.0,,,,,
"現在休息。",000000,內文,0.0,0.0,,,,,
"休息（9時11分）",1100000000,內文,0.0,0.0,,,,,
"繼續開會（9時15分）",111100000000,內文,0.0,0.0,,,,,
"主席：報告院會，請各黨團幹部到後面院長休息室來溝通。謝謝。",111000000000000000000000000000,內文,0.0,0.0,,,,,
"休息（9時16分）",1100000000,內文,0.0,0.0,,,,,
"繼續開會（9時34分）",111100000000,內文,0.0,0.0,,,,,
"主席：報告院會，剛才政黨協商，民進黨黨團沒有到主席休息室進行協調，現在我們繼續開會。",1110000000000000000000000000000000000000000,內文,0.0,0.0,,,,,
"現在進行第二十五條條文，請宣讀條文。",0000000000000000000,內文,0.0,0.0,,,,,
"國民黨黨團、台灣民眾黨黨團共提再修正動議：",1111111111111111111110,內文,0.0,0.0,,,,,
"第二十五條　　質詢之答復，不得超過質詢範圍之外，並不得反質詢。",00000000000000000000000000000000,條/內文,0.0,0.0,,,,,
"被質詢人除為避免國防、外交明顯立即之危害或依法應秘密之事項者並經主席同意者外，不得拒絕答復、拒絕提供資料、隱匿資訊、虛偽答復或有其他藐視國會之行為。",000000000000000000000000000000000000000000000000000000000000000000000000000,條文內文/內文,0.0,0.0,,,,,
"被質詢人非經立法院院會或各委員會之同意，不得缺席。",00000000000000000000000000,條文內文/內文,0.0,0.0,,,,,
"被質詢人違反第一項至第三項規定，主席得予制止、命出席，並得要求被質詢人為答復。",0000000000000000000000000000000000000000,條文內文/內文,0.0,0.0,,,,,
"被質詢人經主席依前項規定制止、命出席或要求答復卻仍違反者，由主席或質詢委員提議，出席委員五人以上連署或附議，經院會決議，處被質詢人二萬元以上二十萬元以下罰鍰。",00000000000000000000000000000000000000000000000000000000000000000000000000000000,條文內文/內文,0.0,0.0,,,,,
"前項情形，經限期改正，逾期仍不改正者，得按次連續課處罰鍰。",000000000000000000000000000000,條文內文/內文,0.0,0.0,,,,,
"前二項罰鍰處分，受處分者如有不服，得於處分書送達之次日起二個月內，向立法院所在地之行政法院提起行政訴訟。",00000000000000000000000000000000000000000000000000000,條文內文/內文,0.0,0.0,,,,,
"違反第一項至第三項規定之政府人員，由主席或質詢委員提議，出席委員五人以上連署或附議，經院會決議，移送彈劾或懲戒。",000000000000000000000000000000000000000000000000000000000,條文內文/內文,0.0,0.0,,,,,
"政府人員於立法院受質詢時，為虛偽陳述者，依法追訴其刑事責任。",0000000000000000000000000000000,條文內文/內文,0.0,0.0,,,,,
"民進黨黨團再修正動議：",111111111110,內文,0.0,0.0,,,,,
